e=-0.499977540056782


#r 	 Fe(e,r) 	 exact
0 	 0 	 0
0.08 	 0.0738464809494365 	 0.0738493077109309
0.16 	 0.136333063243494 	 0.136343006234594
0.24 	 0.188776851029635 	 0.188790686655973
0.32 	 0.232347863301785 	 0.232367691863581
0.4 	 0.268105067888768 	 0.268128018414256
0.48 	 0.296986241589787 	 0.297016028066948
0.56 	 0.319841347907533 	 0.319877075755336
0.64 	 0.337428436965643 	 0.337467151387551
0.72 	 0.350419349636422 	 0.35046162429118
0.8 	 0.359420421338137 	 0.359463171293777
0.88 	 0.364969901958948 	 0.365008962279792
0.96 	 0.367541389528363 	 0.367577170536108
1.04 	 0.367559611913224 	 0.367592869237131
1.12 	 0.365402181553648 	 0.365433369977804
1.2 	 0.361404165317763 	 0.361433054294643
1.28 	 0.355861796485626 	 0.355887744580088
1.36 	 0.349038435492308 	 0.349058656656836
1.44 	 0.341159196107123 	 0.341175972502255
1.52 	 0.332428034507644 	 0.332442068167366
1.6 	 0.323024085634619 	 0.323034428791449
1.68 	 0.313101373884042 	 0.313108279746209
1.76 	 0.302794533296728 	 0.302798960328569
1.84 	 0.292222459242986 	 0.292224064036734
1.92 	 0.281486027636512 	 0.281485367290272
2 	 0.270673079357742 	 0.270670566473225
2.08 	 0.25985916328429 	 0.259854841373051
2.16 	 0.249107798848046 	 0.249102261442215
2.24 	 0.238473677291189 	 0.238467049809526
2.32 	 0.22800190335923 	 0.227994718602119
2.4 	 0.217730556746742 	 0.21772308789459
2.48 	 0.207690570065482 	 0.207683199468646
2.56 	 0.197906823484835 	 0.197900135534847
2.64 	 0.188399378990129 	 0.188393751628859
2.72 	 0.179183676491306 	 0.179179332039816
2.8 	 0.170269590865788 	 0.17026817535061
2.88 	 0.161668651589045 	 0.161668116962305
2.96 	 0.153376692595264 	 0.153383994831268
3.04 	 0.145411923350663 	 0.145418064062363
3.12 	 0.137758042324992 	 0.137770365469442
3.2 	 0.1304181657044 	 0.130439052730772
3.28 	 0.123400783802056 	 0.123420682327538
3.36 	 0.116675322136048 	 0.116710470054321
3.44 	 0.110255195450185 	 0.110302517527841
3.52 	 0.104147427578427 	 0.10419001179098
3.6 	 0.0983012679137412 	 0.0983654008102531
3.68 	 0.0926927986760609 	 0.092820547393636
3.76 	 0.0874570855435985 	 0.0875468638096126
3.84 	 0.0824393176833698 	 0.0825354291651452
3.92 	 0.0776073580897964 	 0.0777770913979314
4 	 0.0730216303027379 	 0.0732625555549366
4.08 	 0.0687281316899315 	 0.0689824598630374
4.16 	 0.0647342220818044 	 0.0649274409471285
4.24 	 0.060824825056798 	 0.0610881894147963
4.32 	 0.057233715139512 	 0.057455496903357
4.4 	 0.0537847977064744 	 0.0540202955735011
4.48 	 0.0504913211214157 	 0.0507736909329098
4.56 	 0.0474086398112674 	 0.0477069887820261
4.64 	 0.0444827159685355 	 0.0448117169917752
4.72 	 0.0417549985207388 	 0.0420796427486346
4.8 	 0.039188293500735 	 0.0395027858352961
4.88 	 0.0367756022370988 	 0.0370734284545785
4.96 	 0.0344722591419097 	 0.0347841220496236
5.04 	 0.0322631020840318 	 0.0326276915241785
5.12 	 0.0302448972326664 	 0.0305972372224304
5.2 	 0.0283132373464089 	 0.028686134987956
5.28 	 0.0264676698073992 	 0.0268880345854517
5.36 	 0.0247293144570684 	 0.0251968567366463
5.44 	 0.0231854454471589 	 0.0236067889928195
5.52 	 0.0216918368296058 	 0.0221122806403391
5.6 	 0.0202553012238232 	 0.0207080368123044
5.68 	 0.0189255554194352 	 0.019389011958486
5.76 	 0.0176816069071242 	 0.0181504028070399
5.84 	 0.0164757196909277 	 0.0169876409347454
5.92 	 0.0153433882942261 	 0.0158963850475666
6 	 0.0142866401391597 	 0.0148725130599981
6.08 	 0.0132659048517584 	 0.0139121140497667
6.16 	 0.0123291652354798 	 0.0130114801538735
6.24 	 0.0114835977832701 	 0.0121670984625535
6.32 	 0.0106897667460497 	 0.0113756429593773
6.4 	 0.0099200737943261 	 0.0106339665483131
6.48 	 0.00916821280895977 	 0.00993909320202249
6.56 	 0.00849179790262496 	 0.00928821025987499
6.64 	 0.00783006779827483 	 0.00867866089907358
6.72 	 0.00720285042422397 	 0.008107936797798
6.8 	 0.00658098101819241 	 0.00757367100534463
6.88 	 0.00593146030930525 	 0.00707363103080211
6.96 	 0.00541399910855559 	 0.00660571215880445
7.04 	 0.00492471477407006 	 0.006167930998298
7.12 	 0.00449766786465351 	 0.00575841926800365
7.2 	 0.00406324195719365 	 0.00537541782031207
7.28 	 0.00364957020184727 	 0.00501727090368351
7.36 	 0.00323109673256829 	 0.00468242066220338
7.44 	 0.00285322914582082 	 0.00436940186974215
7.52 	 0.0024266229369632 	 0.00407683689515896
7.60000000000001 	 0.002054063883269 	 0.00380343089414862
7.68000000000001 	 0.00165503794875754 	 0.00354796722264307
7.76000000000001 	 0.00125328168938615 	 0.00330930306612066
7.84000000000001 	 0.000740965950710991 	 0.0030863652787358
7.92000000000001 	 0.000370751326759172 	 0.00287814642584077
